Date,Tweet
11/2/2020,Donald Trump is the most corrupt president in modern history.  Donald Trump is the most racist president in modern history.  Donald Trump is the worst jobs president in modern history.  Why would we give him another four years?
11/2/2020,"Here's the truth: Donald Trump inherited a growing economy from President Obama and me. And just like everything else he's inherited in life, he squandered it."
11/2/2020,"When America votes, America will be heard. And when America is heard, I believe the message is going to be loud and clear: It's time for Donald Trump to leave the White House."
11/2/2020,"A Biden-Harris administration will:  - Implement nationwide mask mandates - Ensure access to regular, reliable, and free testing - Accelerate the development and distribution of safe and effective treatments and vaccines  We won't waste any time getting this virus under control."
11/2/2020,"Together, we're going to rebuild our economy. And when we do, we'll not only build it back - we'll build it back better."
11/2/2020,"In public, President Trump compared COVID-19 to the flu and suggested people inject bleach to treat it.  In private, he told Bob Woodward it was deadlier than the flu and that he wanted to downplay it.  It's unthinkable."
11/2/2020,I have always believed you can define America in one word: possibilities. And I refuse to postpone those possibilities any longer.  There is so much we can achieve as a nation with Donald Trump out of the White House.
11/2/2020,This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.
11/2/2020,1 day. Let's win this thing.
11/2/2020,"If you can still vote early, then vote early today.  If you haven't returned your absentee ballot yet, then return it today.  If you're voting in-person tomorrow, then make your plan today.  Let's end this - today."
11/2/2020,We need a president who actually listens to experts like Dr. Fauci.
11/2/2020,I started this campaign saying we were in a battle for the soul of this nation - and I believe that even more deeply today.  But make no mistake: It's a battle we can and will win.
11/2/2020,Our president has failed in his most basic duty to this nation: to protect us.  It's unforgivable.
11/2/2020,"Donald Trump sees the world from Park Avenue.  I see it from where I came from: Scranton, Pennsylvania.   It's why I'll fight every day as president to make this country work for middle class and low-income Americans - not just the wealthy and well-connected."
11/2/2020,"The United States of America has emerged stronger from every trial and tribulation it has faced. And if we come together, follow the science, and keep faith with each other, we will once again. I promise."
11/2/2020,Donald Trump's COVID-19 response has been the greatest failure of presidential leadership in our nation's history.
11/2/2020,"Under my tax plan, no one making under $400,000 will see their taxes go up.  But it's time large corporations and the wealthiest Americans pay their fair share."
11/1/2020,It's long past time President Trump and his wealthy friends paid their fair share in taxes.
11/1/2020,"Donald Trump claimed he would be ""the greatest jobs president God ever created.""  Instead, he\'s on track to become the worst jobs president in 100 years."
11/1/2020,"I believe climate change is an existential threat to humanity.  Donald Trump doesn't even think it exists.  It's that simple, folks."
11/1/2020,"It's long past time we take action to end the scourge of gun violence in America.  As president, I'll ban assault weapons and high-capacity magazines, implement universal background checks, and enact other common-sense reforms to end our gun violence epidemic."
11/1/2020,"More than 230,000 Americans have died from COVID-19 -- and Donald Trump has given up on trying to get the virus under control.  He may have quit on you, but I promise I never will."
11/1/2020,"The Trump Administration knew how deadly this virus was back in February.  But they didn't tell you or your family. Instead, they gave a heads up to their friends on Wall Street so investors could make a profit before the recession hit.  They hid the truth. It's unforgivable."
11/1/2020,We need a president who believes in science and listens to someone other than himself.
11/1/2020,"If you're sick or struggling or worried about how you'll get through the day: I want you to know that I see you, and I won't forget you.  You can count on me to fight for you every day in the White House."
11/1/2020,"From his heinous acts of separating families at our border to his neglect of the people of Puerto Rico after Hurricane Maria, President Trump has attacked the dignity of Latino families time and time again.  It will end when I'm president."
11/1/2020,2 days. Finish strong.
11/1/2020,I promise you this: I'll end Donald Trump's chaos and end this crisis.
11/1/2020,Right now:   - Almost 23 million Americans are on unemployment - Nearly 1 in 5 small businesses have closed their doors - Millions of people are at risk of being evicted   We simply can't afford another four years of Donald Trump.
11/1/2020,"We need to:  Build bridges, not walls. Open our arms, not clench our fists. Focus on the ties that bind us together, not tear each other apart.  We need to be what we are at our best: One America."
11/1/2020,"As president, I'll build an economy that rewards work - not just wealth."
11/1/2020,"The issues we're facing are far bigger than any political party.  It's why I'll be a president for all Americans - Democrats, Republicans, and Independents alike - because I believe we must work together if we're going to get anything done."
11/1/2020,"The words of a president matter. And time and time again, Donald Trump has callously used his to incite violence, stoke the flames of hatred and division, and drive us further apart.  It's time for it to end."
11/1/2020,"The hard truth is that under President Trump, we've become weaker, sicker, poorer, more divided, and more violent."
10/31/2020,"I want to extend my prayers and condolences to the Chaldean Assyrian Community this 10th anniversary of Our Lady of Deliverance church massacre in Baghdad. The right to worship is fundamental, and as Americans we should be proud that people from around the world find a home here."
10/31/2020,"As president, I will choose:   Hope, not fear. Peace, not violence. Generosity, not greed.   I'll appeal to the best in us, not the worst."
10/31/2020,President Obama and I left President Trump a playbook on how to deal with pandemics. He flat-out ignored it. And we're suffering every day because of it.
10/31/2020,"3 days.  Stay empowered, stay optimistic, stay united."
10/31/2020,"Every single American deserves access to regular, reliable, and free COVID-19 testing. Period."
10/31/2020,"President Trump still has no plan to address COVID-19.  He quit on you, on your family, on America. He just wants us to grow numb to the horrors of the death toll and the pain.  We cannot afford another four years of his failed leadership."
10/31/2020,"This Domestic Violence Awareness Month, I recommit to ensuring domestic violence is treated like the crime it is, and to ensuring survivors receive the support they need. I've spent my entire career fighting domestic abuse - and will continue that fight as president. #DVAM"
10/30/2020,"More than 9 million cases of COVID-19 have been now confirmed in the United States - and more than 228,000 Americans have lost their lives.  It is as severe an indictment of a president's record as one can possibly imagine, and it is utterly disqualifying."
10/30/2020,Jill and I are praying for all those impacted by Hurricane Zeta. The entire nation stands with you as you rebuild and recover.
10/30/2020,"Jill and I send our prayers to the people of Greece and Turkey following today's earthquake. We're grateful for the brave rescuers saving others, and for the governments of Greece and Turkey putting aside their differences to support each other."
10/30/2020,Let me be clear: Hardworking Americans should not be paying more in federal income taxes than Amazon or Netflix.  It's time for big corporations to finally pay their fair share.
10/30/2020,I'm not going to shut down the country.  I'm not going to shut down the economy.  I'm going to shut down the virus.
10/30/2020,"Now more than ever, we need a president who will choose compassion over cruelty."
10/29/2020,Jill and I are keeping the French people in our prayers following the horrific terror attack in Nice - which targeted innocents in a house of worship. A Biden-Harris administration will work with our allies and partners to prevent extremist violence in all forms.
10/29/2020,"I join Israelis in honoring Prime Minister Yitzhak Rabin z""l, 25 years after his assassination. He led a life of service to his country and its security - and bravely gave his life pursuing peace. I was honored to call him a friend."
10/29/2020,"Latinas are the heart of our communities - and on Latina Equal Pay Day, we call attention to the fact that they earn only 54 cents for every dollar a white man makes.  A Biden-Harris Administration will build back better for Latinas by taking overdue action to ensure equal pay."
10/29/2020,5 days. Let's bring this home.
10/29/2020,"GDP rose last quarter, but visits to food banks haven't slowed, and poverty has grown. We're on track for the worst economic downturn in over 70 years, and Donald Trump is on track to be the first president since Herbert Hoover to leave office with less jobs than when he came in."
10/29/2020,"I believe in science.  Donald Trump doesn't.  It's that simple, folks."
10/28/2020,It's not political.  It's patriotic.  Wear a mask. Period.
10/28/2020,"Today we celebrate the 80th anniversary of Oxi Day. Greeks inspired the free world when they resisted Mussolini's invading army - and that courageous spirit lives on today, reminding us we too must stand up and do our part to safeguard our democracy."
10/28/2020,It's simple: Donald Trump thinks health care is a privilege. I think it is your right.
10/28/2020,"We are the United States of America. We can beat this virus.  There is no challenge we cannot meet, no enemy we cannot face, no threat we cannot conquer when we stand together."
10/28/2020,"Two years ago, a white supremacist entered Pittsburgh's Tree of Life Synagogue and perpetrated the deadliest anti-Semitic attack in American history. May the memories of those we lost be a blessing - and may we never stop fighting the scourges of anti-Semitism and gun violence."
10/27/2020,The names of George Floyd and Breonna Taylor and Jacob Blake will not soon be forgotten.  Not by me. Not by us. Not by this country.  They're going to inspire a new wave of justice in America.
10/27/2020,I know this country. I know our people. And I know we can unite and heal this nation.
10/27/2020,One week until Election Day. Don't let up now.
10/27/2020,Vote.
10/26/2020,We can't let President Trump tear down Obamacare.
10/26/2020,More than 60 million Americans have already voted. They deserve to have their voices heard on who replaces Justice Ginsburg.
10/26/2020,"No president whose lies and failures have cost 225,000 American lives should keep his job. Period."
10/26/2020,"In 8 days, we're going to take our democracy back."
10/25/2020,9 days. Let's go.
10/24/2020,President Trump continues to prove just how unfit he is to lead our nation through a global pandemic.
10/24/2020,10 days.
10/23/2020,"A slight change of tone from the president for one night doesn't cover up the lies he told. It doesn't change the fact that over 220,000 Americans have died from COVID-19 on his watch.  We can't take another four years of Donald Trump's failed leadership."
10/23/2020,"64 years ago today, freedom-loving Hungarians revolted against communist rule. Their spirit inspired the Prague Spring, Poland's Solidarity movement, and the fall of the Berlin Wall. As president, I'll always stand in defense of democracy and freedom at home and around the world."
10/23/2020,"I'm running as a proud Democrat, but I will govern as an American president. I will represent you - whether you vote for me or against me."
10/23/2020,Donald Trump has a dog whistle about as big as a foghorn.
10/23/2020,You know who I am. You know who he is.  The character of the country is on the ballot. Look at us closely.
10/23/2020,"Equality and justice - the American creed. We have never lived up to it, but we've never stopped trying - until this President."
10/23/2020,"All Donald Trump can see from Park Avenue is Wall Street.  He thinks the economy is doing well if the Dow Jones is doing well.  Believe it or not, Mr. President, most Americans don't live off the stock market."
10/23/2020,He's a confused guy. He doesn't know who he's running against. He's running against Joe Biden.
10/23/2020,"It's not about his family or my family. It's about your family.  If you're a middle-class family right now, you're hurting badly."
10/23/2020,Malarkey!
10/23/2020,Donald Trump should release his tax returns or shut up about corruption.
10/23/2020,I don't look at this the way Donald Trump does - blue states or red states. They're all the United States.
10/23/2020,"I'm going to shut down the virus, not the country."
10/23/2020,"Learning to live with it? Come on. People are dying with it, Mr. President."
10/23/2020,"220,000 deaths.  If you hear nothing else I say tonight, hear this: Anyone who is responsible for that many deaths should not remain President of the United States."
10/22/2020,"Folks, the final debate is here. Tune in at 9 PM ET as I go head-to-head with Donald Trump for the last time before Election Day."
10/22/2020,"Donald Trump sees the world from Park Avenue.  I see it from where I came from: Scranton, Pennsylvania.   It's why I'll fight every day as president to make this country work for the middle class - not the wealthy and well-connected."
10/22/2020,I'm running as a proud Democrat. But I will be an American president.
10/21/2020,President Trump didn't take the necessary precautions to protect himself and others.  How can we trust him to protect the country?
10/21/2020,"I've always believed we're at our best when we're one America. If we come together, there's not a single thing we cannot overcome."
10/20/2020,Listening to scientists is not a bad thing.  I can't believe that has to be said.
10/20/2020,"Two weeks from today, we're going to beat President Trump."
10/20/2020,"Yesterday, @realDonaldTrump decided to attack Dr. Fauci once again, calling him a 'disaster' and public health experts 'idiots.' Meanwhile, he still has no plan to beat this virus."
10/20/2020,I will be a president who pushes towards the future. Not one who clings to the past.
10/19/2020,15 days. Let's finish strong.
10/19/2020,Wear a mask. Wash your hands. Vote out Donald Trump.
10/18/2020,"We are in a battle for the soul of the nation.   The forces of darkness, the forces of division, the forces of yesterday are pulling us apart, holding us down, and holding us back.  We must free ourselves of all of them."
10/18/2020,"From tackling climate change to making community college free for all - I've got big plans for the country.  And I'll pay for them by making sure the super-wealthy, like President Trump, pay more than $750 in federal income taxes."
10/18/2020,"COVID-19 cases are on the rise across the nation.  But instead of leading by example, Donald Trump continues to put others in danger with his campaign events that ignore expert-recommended precautions.  Every day he proves just how unfit he is to lead America through this crisis."
10/18/2020,A job is about a lot more than a paycheck.  It's about dignity. It's about respect. It's about being able to look your kid in the eye and say everything will be okay.  Too many people today can't do that - and it's got to change.
10/17/2020,"In the middle of a pandemic, President Trump is trying to eliminate Obamacare and increase health care costs for millions.  Now, he's rushing through a U.S. Supreme Court justice to help him get it done. It's unconscionable.   Make no mistake: Health care is on the ballot."
10/17/2020,"If we do our part, if we stand together, if we keep faith with the past and with each other - then the divisions of our time can give way to the dreams of a brighter, better future.   That is our work. That is our pledge. That is our mission."
10/17/2020,"As president, I'll protect and build on Obamacare by:  - Giving Americans the choice to buy a new public option - Lowering premiums, deductibles, and co-pays - Standing up to prescription drug corporations  We're going to make sure every American has access to the care they need."
10/17/2020,"As the Hindu festival of Navratri begins, Jill and I send our best wishes to all those celebrating in the U.S. and around the world. May good once again triumph over evil - and usher in new beginnings and opportunity for all."
10/16/2020,We need a president who will expand access to health care - not one who does everything he can to tear it away.
10/16/2020,"I know times are tough, but I promise our best days still lie ahead. Together, we're going to overcome these crises, unite the country, and build a better future for all."
10/16/2020,How will I ensure the rights of LGBTQ+ people are protected under U.S. law?  I'll change the law.
10/16/2020,"I'm running as a proud Democrat, but I'm going to be an American president.   I'm going to take care of those who voted against me as well as those who voted for me.   That's what presidents do."
10/16/2020,"We're a diverse country - and unless we are able to treat people equally, we're just never going to meet our potential."
10/16/2020,"Two of the things I've cared about throughout my whole career:  1. Improving the criminal justice system. 2. Putting Black Americans in a position to gain generational wealth.  And as president, I will continue that fight every day."
10/16/2020,"Let me be very clear: If you make under $400,000 you won't pay a penny more in taxes under my administration."
10/16/2020,"The words of a president matter. And when a president doesn't wear a mask or makes fun of folks who do, it has consequences."
10/16/2020,"Over 215,000 Americans have died from COVID-19, and what is President Trump doing?  Nothing."
10/16/2020,"We're eight months into this pandemic, and Donald Trump still doesn't have a plan to get this virus under control.  I do."
10/15/2020,"I'm about to step on stage for tonight's town hall in Philadelphia, Pennsylvania. Tune in to @ABC to watch live."
10/15/2020,"During our contact tracing, we discovered around noon today that a member of the company that charters my airplane has also tested positive for COVID. This crew member was on the plane with me, but was more than 50 feet away.   My COVID test from last night came back negative."
10/15/2020,President Obama and I left Donald Trump a booming economy - and he caused a recession. He squandered it just like he has everything else he's inherited in his life.
10/15/2020,"This #SpiritDay - and every day - we must stand up to hate and intolerance. It's up to all of us to ensure every young person is affirmed and accepted just as they are - regardless of sexual orientation, gender identity or expression."
10/15/2020,"The fact that Senate Republicans haven't bothered to pass a COVID relief package but are rushing through President Trump's Supreme Court pick says all you need to know.  We've got to flip the Senate, folks."
10/14/2020,"If President Trump has his way in the U.S. Supreme Court, long-term complications from COVID-19, like lung scarring and heart damage, will become pre-existing conditions that could result in higher premiums or denied coverage.  It's unconscionable."
10/14/2020,"Today would have been George Floyd's 47th birthday, and he should be alive to celebrate it.  I made a promise to his family that I won't let him become just another hashtag - and I'll work every day as president to keep that promise."
10/14/2020,"Donald Trump wants to destroy Obamacare.  I want to protect and build on it.  It's that simple, folks."
10/14/2020,20 days.
10/14/2020,I'll be a president for all Americans. Not just the ones who vote for me.
10/13/2020,The election is already underway.  Millions of Americans are voting.   And they deserve to have their voices heard when it comes to who serves on the U.S. Supreme Court.
10/13/2020,"215,000 Americans have died from COVID-19 on Donald Trump's watch.   It's the greatest failure of presidential leadership in our nation's history."
10/13/2020,"Donald Trump has been trying to throw out Obamacare for years.  And now he sees an opportunity to finally get it done, all while ignoring the will of the people.  We can't let him."
10/13/2020,"Three weeks from today, we're going to make Donald Trump a one-term president."
10/13/2020,"I am ready to fight for you and for our nation. Every day. Without exception, without reservation. And with a full and devoted heart."
10/13/2020,We need a president who will unite our country and bring out our best - not one who stokes division and brings out our worst.
10/12/2020,"On National Farmers Day, we honor the hardworking men and women who drive our economy, fuel our rural communities, and nourish our nation. A Biden-Harris administration will work every day to restore the dignity our farmers deserve and help them build back better than before."
10/12/2020,"Today marks 22 years since Matthew Shepard passed away after a brutal anti-gay hate crime. Over two decades later, violence against LGBTQ+ Americans is at an all-time high. As president, I'll strengthen our hate crimes laws and make clear that bigotry has no place in America."
10/12/2020,"The longer Donald Trump is president, the more reckless he gets."
10/12/2020,I know Americans aren't looking for a handout. They just want a fair chance to get ahead - and I'll work every day to make sure folks get that chance.
10/12/2020,"From Seneca Falls to Selma to Stonewall, we're at our best when the promise of America is available to all."
10/11/2020,"I helped pull this country out of a recession before - and, as president, I'll do it again."
10/11/2020,"When President Trump was told one thousand Americans were dying every day from COVID-19, he shrugged it off and said, ""it is what it is.""  It is what it is?  This president doesn\'t even pretend to care about the Americans he swore to serve. It\'s disgraceful."
10/11/2020,"Today we join Polish-Americans in celebrating General Pulaski, whose heroism built the American cavalry and saved the life of George Washington. America will always stand with the Polish people against the common threats we face."
10/11/2020,"Today, let's all celebrate the one billion girls and young women around the world - and recommit to fight for their education, work, health, rights, and opportunities. A Biden-Harris administration will work to elevate their voices and ensure an equal future. #DayOfTheGirl"
10/11/2020,"I want every member of the LGBTQ+ community to know you are loved and accepted just as you are - whether you've come out or not. I'll fight every day in the White House to create a country where you can live open, proud, and free - without fear. #NationalComingOutDay"
10/11/2020,One in five small businesses have closed. More than 25 million Americans are on unemployment. Millions are at risk of losing their homes.  But President Trump doesn't seem to care. He only cares about how he and his wealthy friends are doing.
10/10/2020,America has to be about the possibilities of prosperity.   Not just for the privileged few. But for the many - for all of us.
10/10/2020,"The fact is this pandemic has exposed the cracks in our already broken mental health care system.  We can and must do better.  As president, I'll fight to achieve mental health parity, expand access to care, and wipe out the stigma. #WorldMentalHealthDay"
10/10/2020,We need a president who understands hardworking Americans - not one who looks down on them.
10/10/2020,"What does building back better mean for you?  - Millions of new, good-paying jobs - A $15 federal minimum wage - Stronger benefits and fair workplaces - An economy that works for everyone-not just the wealthy - The choice to join a union  That's the future we can build together."
10/9/2020,"It's estimated that nearly another 200,000 Americans could lose their lives by the end of the year because of this virus.  Enough. No more.  Let's set the partisanship aside. Let's end the politics. Let's follow the science."
10/9/2020,"Why did Donald Trump tell Bob Woodward the truth about COVID-19, but not the American people?"
10/9/2020,25 days. Let's win this thing.
10/9/2020,"What we need in America is leadership that seeks to de-escalate tensions, to open lines of communication, and to bring us together. To heal - and to hope.  As president, that is precisely what I will do."
10/9/2020,"When Governor Whitmer worked to protect her state from a deadly pandemic, President Trump issued a call to ""LIBERATE MICHIGAN!""  That call was heard.  He\'s giving oxygen to the bigotry and hate we see on the march in our country - and we have to stop it."
10/8/2020,"Last night, @KamalaHarris chose truth over lies.  She chose hope and unity over fear and division.  She showed America what true leadership looks like - and I couldn't be prouder."
10/8/2020,"Folks, there was only one person on last night's debate stage who's fit to serve as Vice President - and her name is @KamalaHarris."
10/8/2020,"We must seek not to build walls, but bridges.  We must seek not to clench our fists, but to open our arms.  We must seek not to tear each other apart, but to come together."
10/8/2020,".@KamalaHarris, you made us all proud tonight."
10/8/2020,"Donald Trump has made hate, division, and dog whistles central to his campaign from the very beginning - and last week he couldn't even condemn white supremacists. It's a pattern."
10/8/2020,"Let me be clear: A Biden-Harris Administration won't increase taxes by a dime on anyone making less than $400,000 a year."
10/8/2020,".@KamalaHarris is showing the American people why I chose her as my running mate. She's smart, she's experienced, she's a proven fighter for the middle class. She'll be an incredible Vice President."
10/7/2020,"Folks, I know a thing or two about vice presidential debates.  In 2008, I squared off against Governor Palin. And in 2012, I called out Congressman Ryan's malarkey.  I know @KamalaHarris will do a great job. Join me and tune in at 9 PM ET to cheer her on."
10/7/2020,"As president, I will:  - Implement nationwide mask mandates - Ensure access to regular, reliable, and free testing - Accelerate the development of treatments and vaccines  I won't waste any time getting this virus under control."
10/6/2020,"Make no mistake: if you are out of work, if your business is closed, if your child's school is shut down, if you are seeing layoffs in your community, Donald Trump decided today that none of that matters to him."
10/6/2020,"I give you my word: If I am elected president, I will marshal the ingenuity and goodwill of this nation to turn division into unity and bring us together."
