Date,Tweet
11/2/2020,"Just landed in Traverse City, Michigan. Big crowd!"
11/2/2020,"As Christians throughout this great Country celebrate All Souls Day, let's remember those who went before us and built this great nation. May their legacy inspire us as we keep our nation what it has always been: blessed and great!"
11/2/2020,"Joe Biden is promising to delay the vaccine and turn America into a prison state-locking you in your home while letting far-left rioters roam free. The Biden Lockdown will mean no school, no graduations, no weddings, no Thanksgiving, no Christmas, no Fourth of July, and..."
11/2/2020,"Joe Biden is a globalist who spent 47 years outsourcing your jobs, opening your borders, and sacrificing American blood and treasure in endless foreign wars. He shuttered your steel mills, annihilated your coal jobs, and supported every disastrous trade deal for half a century..."
11/2/2020,"I gave Maine everything that Obama/Biden took away from it. 5000 square miles, Lobster, Fishing, ended tariffs from China and E.U. and much more. Vote Trump Maine!"
11/2/2020,"Landing in Scranton, Pennsylvania!"
11/2/2020,"Just signed an order to establish the 1776 Commission. We will stop the radical indoctrination of our students, and restore PATRIOTIC EDUCATION to our schools!"
11/2/2020,"he Depraved Swamp have been trying to stop me - because they know I don't answer to THEM - I answer only to YOU. Together, we will defeat the corrupt establishment, we will DETHRONE the failed political class, we will drain the Washington Swamp ; we will SAVE THE AMERICAN DREAM!"
11/2/2020,Biden will RAISE YOUR TAXES (Biggest increase ever!).
11/2/2020,Biden NEVER named his list of Supreme Court Justices. Never even said whether or not he was going to Pack the Court. So how do you vote for this guy?
11/2/2020,We have more Cases because we have more Testing!
11/2/2020,Biden can never negotiate with China. They would own the U.S. if he were ever President!
11/2/2020,very corrupt force in American life that betrayed you and hurt your are supporting Joe Biden: The failed establishment that started the disastrous foreign wars; The career politicians that offshored your industries ; decimated your factories;\xc2\xa0The open borders lobbyists...
11/2/2020,I PREPAID Millions of Dollars in FEDERAL INCOME TAXES!
11/2/2020,No President in history has done more for OHIO than President Trump.
11/2/2020,Biden was a pathetic laughing stock all over Washington for the horrible way he handled the H1N1 Swine Flu. Even his own Chief of Staff said he didn't know what he was doing!
11/2/2020,"Texas, Pennsylvania:\n Biden is against Second Amendment and Fracking. Please remember!"
11/2/2020,Landing in North Carolina. See you soon!
11/2/2020,"Just learned that Sleepy Joe Biden is campaigning in Pennsylvania with Lady Gaga, a proud member of Artists Against Fracking. This is more proof that he would ban Fracking and skyrocket your energy prices..."
11/2/2020,MAKE AMERICA GREAT AGAIN!
11/2/2020,Getting ready to land in the Great State of Florida. See you soon!
11/2/2020,Biden will repeal your Second Amendment and Pack the Court!
11/2/2020,"Remember, Third Quarter GDP is the biggest in U.S. history, by far. Next year will be our best ever!"
11/2/2020,"Just landed in Traverse City, Michigan. Big crowd!"
11/2/2020,"As Christians throughout this great Country celebrate All Souls Day, let's remember those who went before us and built this great nation. May their legacy inspire us as we keep our nation what it has always been: blessed and great!"
11/2/2020,"Joe Biden is promising to delay the vaccine and turn America into a prison state-locking you in your home while letting far-left rioters roam free. The Biden Lockdown will mean no school, no graduations, no weddings, no Thanksgiving, no Christmas, no Fourth of July, and..."
11/2/2020,"Joe Biden is a globalist who spent 47 years outsourcing your jobs, opening your borders, and sacrificing American blood and treasure in endless foreign wars. He shuttered your steel mills, annihilated your coal jobs, and supported every disastrous trade deal for half a century..."
11/2/2020,"I gave Maine everything that Obama/Biden took away from it. 5000 square miles, Lobster, Fishing, ended tariffs from China and E.U. and much more. Vote Trump Maine!"
11/2/2020,"Landing in Scranton, Pennsylvania!"
11/2/2020,"Just signed an order to establish the 1776 Commission. We will stop the radical indoctrination of our students, and restore PATRIOTIC EDUCATION to our schools!"
11/2/2020,"he Depraved Swamp have been trying to stop me - because they know I don't answer to THEM - I answer only to YOU. Together, we will defeat the corrupt establishment, we will DETHRONE the failed political class, we will drain the Washington Swamp ; we will SAVE THE AMERICAN DREAM!"
11/2/2020,Biden will RAISE YOUR TAXES (Biggest increase ever!).
11/2/2020,Biden NEVER named his list of Supreme Court Justices. Never even said whether or not he was going to Pack the Court. So how do you vote for this guy?
11/2/2020,We have more Cases because we have more Testing!
11/2/2020,Biden can never negotiate with China. They would own the U.S. if he were ever President!
11/2/2020,very corrupt force in American life that betrayed you and hurt your are supporting Joe Biden: The failed establishment that started the disastrous foreign wars; The career politicians that offshored your industries ; decimated your factories;\xc2\xa0The open borders lobbyists...
11/2/2020,I PREPAID Millions of Dollars in FEDERAL INCOME TAXES!
11/2/2020,No President in history has done more for OHIO than President Trump.
11/2/2020,Biden was a pathetic laughing stock all over Washington for the horrible way he handled the H1N1 Swine Flu. Even his own Chief of Staff said he didn't know what he was doing!
11/2/2020,"Texas, Pennsylvania:\n Biden is against Second Amendment and Fracking. Please remember!"
11/2/2020,Landing in North Carolina. See you soon!
11/2/2020,"Just learned that Sleepy Joe Biden is campaigning in Pennsylvania with Lady Gaga, a proud member of Artists Against Fracking. This is more proof that he would ban Fracking and skyrocket your energy prices..."
11/2/2020,MAKE AMERICA GREAT AGAIN!
11/2/2020,Getting ready to land in the Great State of Florida. See you soon!
11/2/2020,Biden will repeal your Second Amendment and Pack the Court!
11/2/2020,"Remember, Third Quarter GDP is the biggest in U.S. history, by far. Next year will be our best ever!"
11/1/2020,"Joe Biden is the candidate of rioters, looters, arsonists, gun-grabbers, flag-burners, Marxists, lobbyists, and special interests. I am the candidate of farmers, factory workers, police officers, and hard-working, law-abiding patriots of every race, religion and creed! #MAGA"
11/1/2020,"Biden will terminate school choice, eliminate charter schools, defund religious schools, ban prayer in public schools, indoctrinate your children with Anti-American lies, and force you to subsidize extreme late-term abortion. We believe that every child is a Sacred Gift from God!"
11/1/2020,"or decades, Joe Biden let other countries rip you off and cheat America blind! The only people who've benefited from his policies are himself ; his family. He shows up every 4 years, and then goes back to D.C. and caters to his special interests. My only special interest is YOU."
11/1/2020,"Pennsylvania: Biden said that he doesn't want Fracking. Besides, and more importantly, his handlers won't allow Fracking. That would be the end of Pennsylvania!"
11/1/2020,"Biden did a very POOR job of handling H1N1 Swine Flu, yet all he talks about is Covid, Covid, Covid, like he would actually know what he is doing. He doesn't. Plus, he would be TERRIBLE with the Economy!"
11/1/2020,Thank you Iowa!
11/1/2020,"Michigan was GREAT! Landing now in Dubuque, Iowa. See you soon."
11/1/2020,"Chris Wallace of @FoxNews, by far the lowest rated of the Sunday morning news programs, can't get over his poor debate performance, probably even worse than Sleepy Joe's. His show is a total hit job on your favorite President, me!"
11/1/2020,Biden is a proven Castro puppet! Vote TRUMP
11/1/2020,"Joe Biden constantly used the term Super Predator when referring to young Black Men, according to my sources."
11/1/2020,"The legendary actor, 007 Sean Connery, has past on to even greener fairways. He was quite a guy, and a tough character. I was having a very hard time getting approvals for a big development in Scotland when Sean stepped in and shouted,Let him build the damn thing. That was...."
11/1/2020,"Biden wants to LOCKDOWN our Country, maybe for years. Crazy! There will be NO LOCKDOWNS. The great American Comeback is underway!!!"
11/1/2020,"Joe Biden called Black Youth SUPER PREDATORS. They will NEVER like him, or vote for him. They are voting for TRUMP."
11/1/2020,"hen I originally became your all time favorite President, the Great State of Michigan was hemorrhaging car companies and jobs. Plants were closing and moving to Mexico, and other places. No new plants for decades. I stopped the moves, ; now many plants are and have been built..."
11/1/2020,Our numbers are looking VERY good all over. Sleepy Joe is already beginning to pull out of certain states. The Radical Left is going down!
11/1/2020,"People have long been voting but Joe Biden has still not released his Supreme Court List of Radical Left Judges that he would like to put on the Court. Also, is he going to Court Pack? He thinks he can bluff his way through these two important questions. Can only vote against!!!"
11/1/2020,"Joe Biden is the candidate of rioters, looters, arsonists, gun-grabbers, flag-burners, Marxists, lobbyists, and special interests. I am the candidate of farmers, factory workers, police officers, and hard-working, law-abiding patriots of every race, religion and creed! #MAGA"
11/1/2020,"Biden will terminate school choice, eliminate charter schools, defund religious schools, ban prayer in public schools, indoctrinate your children with Anti-American lies, and force you to subsidize extreme late-term abortion. We believe that every child is a Sacred Gift from God!"
11/1/2020,"or decades, Joe Biden let other countries rip you off and cheat America blind! The only people who've benefited from his policies are himself ; his family. He shows up every 4 years, and then goes back to D.C. and caters to his special interests. My only special interest is YOU."
11/1/2020,"Pennsylvania: Biden said that he doesn't want Fracking. Besides, and more importantly, his handlers won't allow Fracking. That would be the end of Pennsylvania!"
11/1/2020,"Biden did a very POOR job of handling H1N1 Swine Flu, yet all he talks about is Covid, Covid, Covid, like he would actually know what he is doing. He doesn't. Plus, he would be TERRIBLE with the Economy!"
11/1/2020,Thank you Iowa!
11/1/2020,"Michigan was GREAT! Landing now in Dubuque, Iowa. See you soon."
11/1/2020,"Chris Wallace of @FoxNews, by far the lowest rated of the Sunday morning news programs, can't get over his poor debate performance, probably even worse than Sleepy Joe's. His show is a total hit job on your favorite President, me!"
11/1/2020,Biden is a proven Castro puppet! Vote TRUMP
11/1/2020,"Joe Biden constantly used the term Super Predator when referring to young Black Men, according to my sources."
11/1/2020,"The legendary actor, 007 Sean Connery, has past on to even greener fairways. He was quite a guy, and a tough character. I was having a very hard time getting approvals for a big development in Scotland when Sean stepped in and shouted,Let him build the damn thing. That was...."
11/1/2020,"Biden wants to LOCKDOWN our Country, maybe for years. Crazy! There will be NO LOCKDOWNS. The great American Comeback is underway!!!"
11/1/2020,"Joe Biden called Black Youth SUPER PREDATORS. They will NEVER like him, or vote for him. They are voting for TRUMP."
11/1/2020,"hen I originally became your all time favorite President, the Great State of Michigan was hemorrhaging car companies and jobs. Plants were closing and moving to Mexico, and other places. No new plants for decades. I stopped the moves, ; now many plants are and have been built..."
11/1/2020,Our numbers are looking VERY good all over. Sleepy Joe is already beginning to pull out of certain states. The Radical Left is going down!
11/1/2020,"People have long been voting but Joe Biden has still not released his Supreme Court List of Radical Left Judges that he would like to put on the Court. Also, is he going to Court Pack? He thinks he can bluff his way through these two important questions. Can only vote against!!!"
10/31/2020,"Just signed an order to protect fracking and the oil and gas industry. This means JOBS, low energy bills, and continued AMERICAN ENERGY INDEPENDENCE! Sleepy Joe would BAN fracking and destroy American energy jobs! He has NO clue!!"
10/31/2020,"Thank you to the wonderful @RJHarrisWHP580 for the nice words on @FoxNews. Tremendous enthusiasm in Pennsylvania, and everywhere else. The Great Red Wave is coming!"
10/31/2020,"iden ; Obama owe a massive apology to the People of Flint. The water was poisoned on their watch. Not only did they fail them, Biden proudly accepted the endorsement of disastrous Gov Rick Snyder! Unlike Biden, I will always stand with the People of the Great State of MICHIGAN!"
10/31/2020,Will be making a special speech in Pennsylvania at 12:30 P.M. Eastern!
10/31/2020,"Last night, our Country's brave warriors rescued an American hostage in Nigeria. Our Nation salutes the courageous soldiers behind the daring nighttime rescue operation and celebrates the safe return of yet another American citizen!"
10/31/2020,"Gallup: 56% of the U.S. is more satisfied with conditions now, even during a pandemic (we are rounding the turn!), than they were 4 years ago under Obama/Biden. Hasn't been equaled in recent times!"
10/31/2020,"Dr. Mariannette Miller-Meeks (@MillerMeeks) will do a great job in Congress for Iowa! A Doctor and Veteran, she will Deliver Great Health Care, Defend Life, and Protect your Second Amendment. Mariannette has my Complete and Total Endorsement! #IA02"
10/31/2020,Big win for our very elite U.S. Special Forces today. Details to follow!
10/31/2020,Biden and the Radical Left are asking for the largest tax hike in the history of the U.S. Remember that when you VOTE!
10/31/2020,"Joe Biden will PACK THE COURT. Also, he never gave the answer who his Radical Left Justices will be!"
10/31/2020,"I paid many millions of dollars in Taxes to the Federal Government, most of which was even paid early, or PREPAID. MANY $MILLIONS. The Failing @nytimes never likes reporting that!"
10/31/2020,"President Obama meant a lot to Black people, but he didn't do a thing for Black people. Vernon Jones, Georgia State Represenative, Trump supporter. @ffweekend"
10/31/2020,"Suburban Women are trending strongly to our campaign because they want SAFETY, SECURITY, and love the fact that I terminated the REGULATION that would destroy their neighborhood and with it, the American Dream. Biden would bring the REGULATION back in a MUCH stronger form!!!"
10/31/2020,"A Biden win would mean the end of Fracking in Pennsylvania, Texas, and everywhere else. Millions of jobs would be lost, and Energy prices would soar. @OANN  And we would no longer be Energy Independent!!!"
10/31/2020,MAKE AMERICA GREAT AGAIN!
10/31/2020,"Biden has pledged a staggering 700% increase in refugees from the most dangerous and violent terrorist hot spots on earth. He has also vowed to terminate our national security travel bans, allowing for unlimited migration from war zones, and terrorist havens..."
10/31/2020,"Just signed an order to protect fracking and the oil and gas industry. This means JOBS, low energy bills, and continued AMERICAN ENERGY INDEPENDENCE! Sleepy Joe would BAN fracking and destroy American energy jobs! He has NO clue!!"
10/31/2020,"Thank you to the wonderful @RJHarrisWHP580 for the nice words on @FoxNews. Tremendous enthusiasm in Pennsylvania, and everywhere else. The Great Red Wave is coming!"
10/31/2020,"iden ; Obama owe a massive apology to the People of Flint. The water was poisoned on their watch. Not only did they fail them, Biden proudly accepted the endorsement of disastrous Gov Rick Snyder! Unlike Biden, I will always stand with the People of the Great State of MICHIGAN!"
10/31/2020,Will be making a special speech in Pennsylvania at 12:30 P.M. Eastern!
10/31/2020,"Last night, our Country's brave warriors rescued an American hostage in Nigeria. Our Nation salutes the courageous soldiers behind the daring nighttime rescue operation and celebrates the safe return of yet another American citizen!"
10/31/2020,"Gallup: 56% of the U.S. is more satisfied with conditions now, even during a pandemic (we are rounding the turn!), than they were 4 years ago under Obama/Biden. Hasn't been equaled in recent times!"
10/31/2020,"Dr. Mariannette Miller-Meeks (@MillerMeeks) will do a great job in Congress for Iowa! A Doctor and Veteran, she will Deliver Great Health Care, Defend Life, and Protect your Second Amendment. Mariannette has my Complete and Total Endorsement! #IA02"
10/31/2020,Big win for our very elite U.S. Special Forces today. Details to follow!
10/31/2020,Biden and the Radical Left are asking for the largest tax hike in the history of the U.S. Remember that when you VOTE!
10/31/2020,"Joe Biden will PACK THE COURT. Also, he never gave the answer who his Radical Left Justices will be!"
10/31/2020,"I paid many millions of dollars in Taxes to the Federal Government, most of which was even paid early, or PREPAID. MANY $MILLIONS. The Failing @nytimes never likes reporting that!"
10/31/2020,"President Obama meant a lot to Black people, but he didn't do a thing for Black people. Vernon Jones, Georgia State Represenative, Trump supporter. @ffweekend"
10/31/2020,"Suburban Women are trending strongly to our campaign because they want SAFETY, SECURITY, and love the fact that I terminated the REGULATION that would destroy their neighborhood and with it, the American Dream. Biden would bring the REGULATION back in a MUCH stronger form!!!"
10/31/2020,"A Biden win would mean the end of Fracking in Pennsylvania, Texas, and everywhere else. Millions of jobs would be lost, and Energy prices would soar. @OANN  And we would no longer be Energy Independent!!!"
10/31/2020,MAKE AMERICA GREAT AGAIN!
10/31/2020,"Biden has pledged a staggering 700% increase in refugees from the most dangerous and violent terrorist hot spots on earth. He has also vowed to terminate our national security travel bans, allowing for unlimited migration from war zones, and terrorist havens..."
10/30/2020,"President Obama used to say that if you wanted to see something really screwed up, give it to Joe Biden to do. In fact, he tried to keep Joe from running, you don't have to do this Joe, and then wouldn't endorse him until long after the Primaries ended. Joe is lost!."
10/30/2020,"The Election should end on November 3rd., not weeks later!"
10/30/2020,Biden's speech is 90% made up stories and lies. Only broadcast on @FoxNews.
10/30/2020,"oe Biden spent the last 47 years outsourcing your jobs, opening your borders, and sacrificing American blood and treasure in endless foreign wars. He is a diehard globalist who cares nothing for working people. He repeatedly tried to cut Medicare ; Social Security. Biden was..."
10/30/2020,Biden wants the biggest Tax Increase in the history of our Country!
10/30/2020,"I would NEVER have taken the endorsement of the man who, through gross incompetence, poisoned the people of Flint, Michigan. Former RINO Governor Rick Snyder should be ashamed of himself and his service. I was asked to help fix it. Biden took his endorsement. VOTE TRUMP!!!"
10/30/2020,SECOND AMENDMENT!
10/30/2020,SUPREME COURT!
10/30/2020,"33.1% GDP - BEST IN USA HISTORY. IF I AM ELECTED, NEXT YEAR WILL BE OUR BEST EVER!"
10/30/2020,The @nytimes now admits that patients ill with Covid are getting better faster and at higher (much) percentages.
10/30/2020,More Testing equals more Cases. We have best testing. Deaths WAY DOWN. Hospitals have great additional capacity! Doing much better than Europe. Therapeutics working!
10/30/2020,"If Sleepy Joe Biden is actually elected President, the 4 Justices (plus1) that helped make such a ridiculous win possible would be relegated to sitting on not only a heavily PACKED COURT, but probably a REVOLVING COURT as well. At least the many new Justices will be Radical Left!"
10/30/2020,Biden will destroy the United States Supreme Court. Don't let this happen!
10/30/2020,#BidenCrimeFamiily
10/30/2020,MAKE AMERICA GREAT AGAIN. VOTE!!!
10/30/2020,Watch the Great Red Wave!
10/30/2020,Way ahead in Texas!
10/30/2020,"The Fake News refuses to cover the fact that GDP went up 33.1% for the 3rd Quarter, the best number by far in our Country's history!"
10/30/2020,"President Obama used to say that if you wanted to see something really screwed up, give it to Joe Biden to do. In fact, he tried to keep Joe from running, you don't have to do this Joe, and then wouldn't endorse him until long after the Primaries ended. Joe is lost!."
10/30/2020,"The Election should end on November 3rd., not weeks later!"
10/30/2020,Biden's speech is 90% made up stories and lies. Only broadcast on @FoxNews.
10/30/2020,"oe Biden spent the last 47 years outsourcing your jobs, opening your borders, and sacrificing American blood and treasure in endless foreign wars. He is a diehard globalist who cares nothing for working people. He repeatedly tried to cut Medicare ; Social Security. Biden was..."
10/30/2020,Biden wants the biggest Tax Increase in the history of our Country!
10/30/2020,"I would NEVER have taken the endorsement of the man who, through gross incompetence, poisoned the people of Flint, Michigan. Former RINO Governor Rick Snyder should be ashamed of himself and his service. I was asked to help fix it. Biden took his endorsement. VOTE TRUMP!!!"
10/30/2020,SECOND AMENDMENT!
10/30/2020,SUPREME COURT!
10/30/2020,"33.1% GDP - BEST IN USA HISTORY. IF I AM ELECTED, NEXT YEAR WILL BE OUR BEST EVER!"
10/30/2020,The @nytimes now admits that patients ill with Covid are getting better faster and at higher (much) percentages.
10/30/2020,More Testing equals more Cases. We have best testing. Deaths WAY DOWN. Hospitals have great additional capacity! Doing much better than Europe. Therapeutics working!
10/30/2020,"If Sleepy Joe Biden is actually elected President, the 4 Justices (plus1) that helped make such a ridiculous win possible would be relegated to sitting on not only a heavily PACKED COURT, but probably a REVOLVING COURT as well. At least the many new Justices will be Radical Left!"
10/30/2020,Biden will destroy the United States Supreme Court. Don't let this happen!
10/30/2020,#BidenCrimeFamiily
10/30/2020,MAKE AMERICA GREAT AGAIN. VOTE!!!
10/30/2020,Watch the Great Red Wave!
10/30/2020,Way ahead in Texas!
10/30/2020,"The Fake News refuses to cover the fact that GDP went up 33.1% for the 3rd Quarter, the best number by far in our Country's history!"
10/29/2020,"y Administration has suspended the entry of refugees from terror-compromised nations such as Syria, Somalia and Yemen. Biden's plan surges refugees 700% into Minnesota, Michigan ; Pennsylvania-burdening schools ; hospitals while opening the floodgates to Radical Islamic Terror."
10/29/2020,"Failed RINO former Governor Rick Snyder of Michigan was a disaster with respect to the Flint Water CATASTROPHE, and a very bad Governor overall. He hurt so many people with his gross incompetence. He reminds me of Sleepy Joe!"
10/29/2020,"Forced to move our Rally tonight in Fayetteville, North Carolina, to Monday, due to high speed winds and bad weather. I love you North Carolina. Stay safe, see you on Monday!!!"
10/29/2020,"A 3 day extension for Pennsylvania is a disaster for our Nation, and for Pennsylvania itself. The Democrats are trying to steal this Election. We have to get out and VOTE in even larger numbers. The Great Red Wave is coming!!!"
10/29/2020,Weekly Jobless Claims just hit a 7 month low!
10/29/2020,"o it turns out that the wise guy promoted as Anonymous by the @nytimes, named Miles Taylor (who I never even heard of!), was only a little known staffer as opposed to a Senior Administration Official. He then scammed @CNN, lied to @andersoncooper, ; got a job there...."
10/29/2020,"Our hearts are with the people of France. America stands with our oldest Ally in this fight. These Radical Islamic terrorist attacks must stop immediately. No country, France or otherwise can long put up with it!"
10/29/2020,"GDP number just announced. Biggest and Best in the History of our Country, and not even close. Next year will be FANTASTIC!!! However, Sleepy Joe Biden and his proposed record setting tax increase, would kill it all. So glad this great GDP number came out before November 3rd."
10/29/2020,"Thank you to Dave Rubin, author of Don't Burn This Book, just announced on @foxandfriends that he is voting for your favorite President, me. I think Donald Trump has done a lot of good. When I see an American flag, I see Trump support."
10/29/2020,"y Administration has suspended the entry of refugees from terror-compromised nations such as Syria, Somalia and Yemen. Biden's plan surges refugees 700% into Minnesota, Michigan ; Pennsylvania-burdening schools ; hospitals while opening the floodgates to Radical Islamic Terror."
10/29/2020,"Failed RINO former Governor Rick Snyder of Michigan was a disaster with respect to the Flint Water CATASTROPHE, and a very bad Governor overall. He hurt so many people with his gross incompetence. He reminds me of Sleepy Joe!"
10/29/2020,"Forced to move our Rally tonight in Fayetteville, North Carolina, to Monday, due to high speed winds and bad weather. I love you North Carolina. Stay safe, see you on Monday!!!"
10/29/2020,"A 3 day extension for Pennsylvania is a disaster for our Nation, and for Pennsylvania itself. The Democrats are trying to steal this Election. We have to get out and VOTE in even larger numbers. The Great Red Wave is coming!!!"
10/29/2020,Weekly Jobless Claims just hit a 7 month low!
10/29/2020,"o it turns out that the wise guy promoted as Anonymous by the @nytimes, named Miles Taylor (who I never even heard of!), was only a little known staffer as opposed to a Senior Administration Official. He then scammed @CNN, lied to @andersoncooper, ; got a job there...."
10/29/2020,"Our hearts are with the people of France. America stands with our oldest Ally in this fight. These Radical Islamic terrorist attacks must stop immediately. No country, France or otherwise can long put up with it!"
10/29/2020,"GDP number just announced. Biggest and Best in the History of our Country, and not even close. Next year will be FANTASTIC!!! However, Sleepy Joe Biden and his proposed record setting tax increase, would kill it all. So glad this great GDP number came out before November 3rd."
10/29/2020,"Thank you to Dave Rubin, author of Don't Burn This Book, just announced on @foxandfriends that he is voting for your favorite President, me. I think Donald Trump has done a lot of good. When I see an American flag, I see Trump support."
10/28/2020,"Why isn't Biden corruption trending number one on Twitter? Biggest world story, and nowhere to be found. There is notrend, only negative stories that Twitter wants to put up. Disgraceful! Section 230"
10/28/2020,"Who is Miles Taylor? Said he was anonymous, but I don't know him - never even heard of him. Just another @nytimes SCAM - he worked in conjunction with them. Also worked for Big Tech's @Google. Now works for Fake News @CNN. They should fire, shame, and punish everybody...."
10/28/2020,"Why isn't Twitter trending Biden corruption? It's the biggest, and most credible, story anywhere in the world. Fake Trending!!!"
10/28/2020,Media and Big Tech are not covering Biden Corruption!
10/28/2020,"The USA doesn't have Freedom of the Press, we have Suppression of the Story, or just plain Fake News. So much has been learned in the last two weeks about how corrupt our Media is, and now Big Tech, maybe even worse. Repeal Section 230!"
10/28/2020,"It's amazing. Twitter refuses to allow the any mention of the Biden corruption story which was carried so well on @TuckerCarlson last night. It's the biggest story and Big Tech, together with the Lamestream Media, isn't allowing a word to be said about it."
10/28/2020,"ovid, Covid, Covid is the unified chant of the Fake News Lamestream Media. They will talk about nothing else until November 4th., when the Election will be (hopefully!) over. Then the talk will be how low the death rate is, plenty of hospital rooms, ; many tests of young people."
10/28/2020,"As a developer long ago, and continuing to this day, the politicians ran Chicago into the ground. I was able to make an appropriately great deal with the numerous lenders on a large and very beautiful tower. Doesn't that make me a smart guy rather than a bad guy?"
10/28/2020,"We are spending more in Florida, and we are winning big in Florida. Actually, we are winning big in many states as the Great Red Wave begins to form!"
10/28/2020,"Why isn't Biden corruption trending number one on Twitter? Biggest world story, and nowhere to be found. There is notrend, only negative stories that Twitter wants to put up. Disgraceful! Section 230"
10/28/2020,"Who is Miles Taylor? Said he was anonymous, but I don't know him - never even heard of him. Just another @nytimes SCAM - he worked in conjunction with them. Also worked for Big Tech's @Google. Now works for Fake News @CNN. They should fire, shame, and punish everybody...."
10/28/2020,"Why isn't Twitter trending Biden corruption? It's the biggest, and most credible, story anywhere in the world. Fake Trending!!!"
10/28/2020,Media and Big Tech are not covering Biden Corruption!
10/28/2020,"The USA doesn't have Freedom of the Press, we have Suppression of the Story, or just plain Fake News. So much has been learned in the last two weeks about how corrupt our Media is, and now Big Tech, maybe even worse. Repeal Section 230!"
10/28/2020,"It's amazing. Twitter refuses to allow the any mention of the Biden corruption story which was carried so well on @TuckerCarlson last night. It's the biggest story and Big Tech, together with the Lamestream Media, isn't allowing a word to be said about it."
10/28/2020,"ovid, Covid, Covid is the unified chant of the Fake News Lamestream Media. They will talk about nothing else until November 4th., when the Election will be (hopefully!) over. Then the talk will be how low the death rate is, plenty of hospital rooms, ; many tests of young people."
10/28/2020,"As a developer long ago, and continuing to this day, the politicians ran Chicago into the ground. I was able to make an appropriately great deal with the numerous lenders on a large and very beautiful tower. Doesn't that make me a smart guy rather than a bad guy?"
10/28/2020,"We are spending more in Florida, and we are winning big in Florida. Actually, we are winning big in many states as the Great Red Wave begins to form!"
10/27/2020,"Joe Biden is a corrupt politician. He wants to send YOUR jobs to China, while his family rakes in millions from the Chinese Communist Party. If Biden wins, China will OWN the USA. When we win, YOU win, Wisconsin wins, and AMERICA wins! #VOTE"
10/27/2020,"Under my leadership, we achieved the most Secure Border in U.S. History! My opponent's insane immigration plan completely eliminates U.S. borders by implementing nationwide catch-and-release. Joe Biden would make every community into a Sanctuary City for violent criminals. #VOTE"
10/27/2020,"3 Points up in Michigan, 2 Points up in Wisconsin, 3 Points up in Pennsylvania. The Great Red Wave is forming, and getting ready to VOTE!"
10/27/2020,Joe Biden FAILED BADLY with the Swine Flu Epidemic. He knows nothing. All talk and no action!
10/27/2020,"Now @FoxNews is playing Obama's no crowd, fake speech for Biden, a man he could barely endorse because he couldn't believe he won. Also, I PREPAID many Millions of Dollars in Taxes."
10/27/2020,They (his handlers) ripped Sleepy Joe off the stage yesterday when he got lost in a mental fog. A disaster. Very little reporting on this!
10/27/2020,"he biggest difference between now and 2016 is @FoxNews. They are a whole different deal. Despite this, our campaign is doing much better, with bigger crowds and even more (much!) enthusiasm, than we had in 2016. Big Debate ; SCOTUS Win! Real Polls have us winning everywhere!"
10/27/2020,Obama is drawing VERY small (tiny) numbers of people. Biden is drawing almost no one. We are drawing tens of thousands of people. You'll see that again today. The Great Red Wave is coming!!!
10/27/2020,"Death rate of people going into hospitals is MUCH LOWER now than it was. @MSNBC  Wow, MSDNC has come a long way! The fact is that we have learned and done a lot about this Virus. Much different now than when it first arrived on our shores, and the World's, from China!"
10/27/2020,Thank you very much to the great @WashTimes for the wonderful Endorsement of the job I have done as President. His record of achievement in his first term is unmatched by any president in modern times. A second term is likely to bring more successes and a stronger America.
10/27/2020,3% up in Pennsylvania!
10/27/2020,"Big GDP projected. Pelosi only looking to Bail Out badly run Democrat Cities. Tap, Tap, Taping us along. She has little interest in helping out the people."
10/27/2020,"Until November 4th., Fake News Media is going full on Covid, Covid, Covid. We are rounding the turn. 99.9%."
10/27/2020,"Three BIG Rallies today. Lansing, Michigan. West Salem, Wisconsin. Omaha, Nebraska. We are winning all over the place. See you later!!!"
10/27/2020,MAKE AMERICA GREAT AGAIN!
10/27/2020,7 DAYS!!!
10/27/2020,"ALL THE FAKE NEWS MEDIA WANTS TO TALK ABOUT IS COVID, COVID, COVID. ON NOVEMBER 4th, YOU WON'T BE HEARING SO MUCH ABOUT IT ANYMORE. WE ARE ROUNDING THE TURN!!!"
10/27/2020,Philadelpiha MUST HAVE POLLWATCHERS!
10/27/2020,Biden's Handler's want to expand the Court. This would be very bad for the USA. On top of that they don't want to provide a list of who would be chosen for the Court. MUST HAVE A LIST OF THESE RADICAL LEFT JUDGES!
10/27/2020,Strongly Trending (Google) since immediately after the second debate is CAN I CHANGE MY VOTE? This refers changing it to me. The answer in most states is YES. Go do it. Most important Election of your life!
10/27/2020,"Joe Biden is a corrupt politician. He wants to send YOUR jobs to China, while his family rakes in millions from the Chinese Communist Party. If Biden wins, China will OWN the USA. When we win, YOU win, Wisconsin wins, and AMERICA wins! #VOTE"
10/27/2020,"Under my leadership, we achieved the most Secure Border in U.S. History! My opponent's insane immigration plan completely eliminates U.S. borders by implementing nationwide catch-and-release. Joe Biden would make every community into a Sanctuary City for violent criminals. #VOTE"
10/27/2020,"3 Points up in Michigan, 2 Points up in Wisconsin, 3 Points up in Pennsylvania. The Great Red Wave is forming, and getting ready to VOTE!"
